;[ser] Question001;[ser] Question002;[ser] Question003;[ser] Question004;[ser] Question005;[ser] Question006;[ser] Question007;[ser] Question008;[ser] Question009;[ser] Question010
8.jpg;2;2;3;9;9;0;6;1;8;4
31.jpg;2;2;3;9;9;0;6;;2;5
23.jpg;2;2;3;9;9;0;6;;9;4
14.jpg;2;2;3;9;9;0;6;1;0;1
15.jpg;2;2;3;9;9;0;6;;1;6
32.jpg;;;;;;;;;;
49.jpg;;;;;;;;;;
48.jpg;2;2;3;9;9;0;6;0;;
30.jpg;;;;;;;;;;
9.jpg;2;2;3;9;9;;6;;7;
13.jpg;2;2;3;9;9;0;6;1;0;8
39.jpg;2;2;3;9;9;0;6;;6;9
40.jpg;;;;;;;;;;
22.jpg;2;2;3;9;9;0;6;0;8;4
17.jpg;2;2;3;9;9;0;6;;5;2
50.jpg;2;2;3;9;9;;5;9;6;
6.jpg;2;2;3;9;9;0;6;1;8;0
21.jpg;2;2;3;9;9;0;6;1;3;8
5.jpg;2;2;3;9;9;0;6;1;8;9
34.jpg;2;2;3;9;9;0;6;2;1;2
47.jpg;2;2;3;9;9;0;6;0;1;2
16.jpg;2;2;3;9;9;0;6;1;1;5
29.jpg;2;2;3;9;9;0;6;0;4;2
51.jpg;;;;;;;;;;
7.jpg;2;2;3;9;9;;6;;8;7
20.jpg;2;2;3;9;9;0;6;1;3;5
46.jpg;;;;;;;;;;
33.jpg;2;2;3;9;9;0;6;2;0;4
36.jpg;2;2;3;9;9;0;6;2;;3
3.jpg;2;2;3;9;9;0;6;2;4;9
28.jpg;2;2;3;9;9;0;6;2;6;5
45.jpg;2;2;3;9;9;0;5;9;9;3
10.jpg;2;2;3;9;9;0;6;1;7;4
19.jpg;;;;;;;;;;
18.jpg;2;2;3;9;9;0;6;1;5;
43.jpg;2;2;3;9;9;0;5;9;8;8
4.jpg;2;2;3;9;9;0;6;2;4;6
26.jpg;2;2;3;9;9;0;6;0;8;7
27.jpg;;;;9;;;6;;;
52.jpg;2;2;3;9;9;0;;9;7;
44.jpg;;;;9;9;;;9;8;
35.jpg;2;2;3;9;9;0;6;2;0;0
12.jpg;2;2;3;9;9;0;6;1;1;1
42.jpg;2;2;3;9;9;0;5;9;9;
25.jpg;2;2;3;9;9;0;6;;7;9
38.jpg;;;;;;;;;;
1.jpg;2;2;3;9;9;0;6;2;;9
24.jpg;2;2;3;9;9;0;6;0;9;2
2.jpg;2;2;3;9;9;;6;;5;
37.jpg;2;2;3;9;9;0;6;2;1;1
11.jpg;;;;;;;;;;
41.jpg;;;;;;;;;;
